Date,Startup,type,SubVertical,city,Investors Name,investment type,Amount cr
2020-09-01,BYJUS,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,2800.0
,SHUTTL,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,112.677516
2020-09-01,MAMAEARTH,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,257.02404
2020-02-01,HTTPS://WWW.WEALTHBUCKET.IN/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,42.0
2020-02-01,FASHOR,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,25.2
,PANDO,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,126.0
2020-10-01,ZOMATO,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,2100.0
2019-12-12,ECOZEN,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,84.0
2019-06-12,CARDEKHO,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,980.0
2019-03-12,DHRUVA SPACE,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,700.0
,RIVIGO,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,280.0
,HEALTHIANS,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,168.0
,LICIOUS,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,420.0
,TRELL,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,28.0
2019-11-12,REIN GAMES,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,700.0
,LENSKART,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,3234.0
,FRESHWORKS,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,2100.0
,MISTERS,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,6.804
,SUNSTONE EDUVERSITY PVT. LTD,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,21.0
,BURGER SINGH,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
,HEALTHIANS,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,168.0
,NINJACART,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,364.0
,AYE FINANCE,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,243.75771
2019-12-11,SUPERGAMING,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,18.2
,CLUMIO,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1890.0
2019-11-11,EBIKEGO,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,4.2
,DIGITAL MALL ASIA,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,3080.0
,MEDIKABAZAAR,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,221.2
,VOGO AUTOMOTIVE,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,3962.0
,FURTADOS SCHOOL OF MUSIC,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,2800.0
,PAYTM,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,14000.0
2019-04-10,DUNZO,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,630.0
2019-02-10,UDAAN,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,8190.0
,THE MAN COMPANY,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
2019-05-09,FPL TECHNOLOGIES,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,63.0
2019-04-09,CASHFLO,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,46.2
2019-04-09,DIGITAL F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,84.0
2019-04-09,3RDFLIX,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,70.0
2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,252.0
2019-04-09,MYELIN FOUNDRY,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,14.0
2019-04-09,ATOMBERG TECHNOLOGY,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,140.0
2019-04-09,GOQII,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,6300.0
2019-03-09,VYAPAR APP,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,70.0
2019-01-08,CARDEKHO,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,280.0
2019-01-08,PROGCAP,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,70.0
2019-01-08,ALTERIA CAPITAL,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1960.0
2019-01-08,PINE LABS,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,533.12
2019-12-08,MEESHO,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1750.0
,CARS24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,154.0
,UNIPHORE,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,714.0
,ZENDRIVE,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,518.0
,LO! FOODS,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,7.0
,TALA,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,1540.0
,INDWEALTH,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,210.0
,HUNGERBOX,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,92.26
,ADMITKARD,EdTech,University Admissions,Noida,Growth DNA,Seed Round,14.0
,MISHRY REVIEWS,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0
,GROFERS,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,980.0
,RAPIDO BIKE TAXI,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,54600.0
2019-02-07,RENEWBUY,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,266.0
2019-02-07,ATLAN,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,35.0
2019-01-07,WIZCOUNSEL,Compliance,Consulting,New Delhi,Kapil Dev,Angel,2.03
2019-03-07,OLA CABS,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,14.0
2019-01-07,UNIPHORE,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,533.12
2019-04-07,DAALCHINI TECHNOLOGIES,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,7.0
2019-10-07,BYJUS,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,2100.0
2019-11-07,MOGLIX,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,840.0
2019-10-07,EZYHAUL,Tech,Logistics,Singapore,Undisclosed,Series B,224.0
2019-10-07,INDUS OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,80.5
2019-10-07,HEALTHASSURE,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,35.0
2019-09-07,HOUSE OF MSASABA,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,14.0
2019-08-07,BOARD INFINITY,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,4.47447
2019-05-06,NOBROKER,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,714.0
2019-04-06,BIRA91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,140.0
2019-03-06,FABHOTELS,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,68.45965756
2019-03-06,AVAIL FINANCE,Finance,FinTech,Bengaluru,Matrix Partners,Series A,126.0
2019-04-06,BHARATPE,Finance,FinTech,New Delhi,Insight Partners,Series B,1050.0
2019-04-06,RECYKAL,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,364.0
2019-03-06,AGARA LABS,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,35.0
2019-06-06,SISTEMA.BIO,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,38.34648552
2019-06-06,CHAKR INNOVATION,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,364.0
2019-06-06,PRATILIPI,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,211.533
2019-10-06,BOLO APP,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,6.0228
2019-10-06,OKCREDIT,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,217.0
2019-06-06,BIZ2CREDIT,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,728.0
2019-08-06,VOGO AUTOMOTIVE PVT. LTD.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,50.176
2019-04-06,LEEGALITY,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,47.6
2019-06-05,OLA ELECTRIC,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0
2019-06-05,SAAHAS ZERO WASTE,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,12.1604
2019-05-05,STYLEDOTME,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0
2019-01-05,BLACKBUCK,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,2100.0
2019-02-05,ZENOTI,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,700.0
,ATHER ENERGY,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,714.0
,FRESHVNF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1960.0
,GLOWROAD,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,161.0
,BIRA91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,78.4
,KUVERA,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,630.0
2019-12-04,MEDLIFE,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,238.0
2019-10-04,KABADIWALA,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,6.02931
,TRIPOTO,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,50.27925
2019-12-04,AZAH,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,2.8
2019-11-04,SETU,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,49.0
2019-10-04,TOPPR,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,88.49148
2019-10-04,CRAFTSVILLA,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,34.20893
2019-10-04,UNACADEMY,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,4.298
2019-11-04,CLEVERTAP,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,364.0
,MY HEALTHCARE,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,42.0
,KRAZYBEE,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,0.0
,SHUTTL,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,70.0
,INCREFF,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,42.0
2019-01-02,FLEETX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0.0
